lm_type,text,expanded_text,id_short,connect_families,connect_gardeners,connect_teachers,connect_staff_volunteers,connect_students_chaperones,connect_businesses,connect_media,connect_local_govt,connect_utility_depts,connect_mahany_partners,connect_rate_payers,connect_adults,connect_community_orgs,connect_teens,connect_young_adults
activity,Communicating value,UEC is a showpiece for Utilities to show how they are meeting their mandates (visits to UEC by agency/legislative officials),communicating_value,,,,,,1,,1,1,,1,,,,
output,# active partnerships,none,active_partnerships,,,,,,1,1,1,,,,,1,,
output,# volunteer hrs,none,vol_hours,,,,1,,,,,,,,,,,
output,# volunteers,none,vol_num,,,,1,,,,,,,,,,,
output,"# full time, part time, fte",none,staff_num,,,,1,,,,,,,,,,,
output,Attendance stats,none,attendance_stats,1,1,1,,1,,,,,,,1,,,
output,Attendance demographics,"Zipcode
Race/ethnicity, age, education, income
Group composition (e.g. # adults/children per group)",attendance_demographics,1,1,1,,,,,,,,,1,,,
output,Retention/loyalty,none,retention,1,1,,1,,1,,,,,,1,,,
output,Revenue,none,revenue,1,1,1,,,,,,,,,1,,,
output,"$ amt of donations, grants",none,donations_grants,,,,,,1,,1,,,,,,,
output,"# sponsors, @ which levels, $ amt",none,sponsorships,,,,,,1,,1,,,,,,,
output,"#, type of media hits",none,media_hits,,,,,,,1,,,,,,,,
output,% space/capacity reached,none,space_capacity,1,1,1,,,,,,,,,1,,,
output,Satisfaction ratings,none,satisfaction,1,1,,,,,,,,,1,1,,,
output,# of programs delivered,none,quantity_completed,1,1,1,,,,,,,,,1,,,
outcome,"Reflect on the interconnectedness between utility, customer, community, and planet","I am part of many systems.
I am part of the natural world.
I play a role.

“I had no idea how much these systems are all connected to me, and that my utilities are doing so much for me and the future of my community.”
“I should do the right thing because it benefits me, but also because it benefits my community when we all work together.”",interconnected,1,1,,,1,,,,,,,1,,,
outcome,Amaze with what our utilities do every day.,"My utilities do some complex things.
Trust.

“I’m amazed by and grateful for what great things can be done by great people, both in my community and in my utilities.”",amazement,1,,,,1,,,,,,,1,,,
outcome,Inspire stewardship at home,"This is what I can do.
saving $, saving environment
worry, about condition of environment, community, bottom line
pride, community
home

“I can act today and make a difference.”",stewardship,1,1,,,1,,,,,,,1,,,
outcome,UEC is a recognized leader for utility education and interpretation.,none,uec_leader,,,1,,,1,1,1,1,,,,,,
outcome,"Utilities see UEC as essential to meeting their mandates for reduction of waste, consumption, and other targets",none,utilities_uec,,,,,,,,,1,,,,,,
outcome,Staff are empowered.,none,staff_empowered,,,,1,,,,,,,,,,,
outcome,Volunteers love what they do.,none,volunteers_love,,,,1,,,,,,,,,,,
outcome,Businesses and institutions see UEC as a mutually beneficial partnership.,none,businesses_uec,,,,,,1,,1,,,,,1,,
outcome,Rate payers see UEC as a worthwhile investment.,none,rate_payers_uec,,,,,1,,,,,,1,,,,
activity,Celebrate the Earth festival ,none,celebrate_earth,1,,,,,,,,,,,1,,,
activity,"Other offsite events, co-hosted",none,offsite_events,1,,,,,,,,,,,1,,,
activity,Library tour as part of school tours,none,library_tour,,,1,,1,,,1,,,,,,,
activity,"Opportunities for sponsorships, co-hosting events","e.g. regional utilities can do events, booths, giveaways",opp_sponsor_cohost,,,,,,1,,1,1,,,,1,,
activity,Pursuing grant funding,"capital improvements, program development, program expansion and sponsorships",pursue_grants,,,,,,1,,1,,,,,,,
resource,UEC's reputation as a place worth connecting to,none,uec_reputation,,,,,,1,1,1,1,,,,1,,
relationship,Non-profits or community groups with shared audience or mission,"Community groups whose main target audience is families is a sub-audience for UEC -- they connect UEC with a more diverse and focused set of the family audience.
Other organizations who have the same mission can be excellent partners for UEC. For example, the Nature Center, Master Gardeners.",community_orgs,,,,,,,,,,,,,1,,
relationship,Adults,"UEC's adult audience is thought of as adults 40+ years old, without kids and with time. Current programs appeal most to people who already have something of an interest in environmental stewardship. Some targeted outreach has been done to senior locations (sun city, retirement communities) but the adult audience is not limited to seniors.",adults,,,,,,,,,,,,1,,,
activity,Group tours,"Boy and Girl Scouts
Homeschool
Afterschool
Daycare
Exhibit Hall Tours
LEED Building Facility Tours
Pre- and post- materials",group_tours,,,,,,,,,,,,1,,,
activity,Adult workshops,"e.g. Recycled knitted
Modest fee",adult_workshops,,,,,,,,,,,,1,,,
activity,Electric workshops,Solar,electric_workshops,,,,,,,,,,,1,1,,,
activity,Partner Programs,"LED Holiday Lights exchange
Light bulb sales
Fix a Leak Week",light_exchange,,,,,,1,,,,,1,1,,,
activity,E-waste drop-off,none,ewaste_drop,,,,,,,,,,,1,1,,,
outcome,"Staff and volunteers carry on tradition of excellence in programs and services, even during periods of growth and change",none,staff_excellence,,,,1,,,,,,,,,,,
activity,Social events,"For families and adults
Talk about messages in social atmosphere (e.g. cocktails or beer/wine evenings,
or go on a bike ride to explore an area with ice cream at the end)",social_events,1,1,,,,,,,,,,1,,,
relationship,Teen,"UEC would like to create programs, services, and events geared towards teens. Right now, this is an aspirational audience.",teens,,,,,,,,,,,,,,1,
relationship,Young adults,"UEC would like to create programs, services, and events geared towards young adults. UEC imagines this audience as 20-somethings who are independent from their parents and too young for kids.",young_adults,,,,,,,,,,,,,,,1
activity,Hosting training workshops,"Host training workshops for community businesses in organic materials, water efficiency, lighting",host_training,,,,,,1,,,1,,,,,,
resource,Audience sharing,"Sharing audiences and connections with other organizations
Currently share audiences with library quite a bit",audience_sharing,,,,,,,,1,,,,,1,,
outcome,Volunteers and staff are ambassadors to the community,none,vol_ambassador,,,,1,,,,,,,,,,,
outcome,Staff can be proactive and strategic.,none,staff_proactive,,,,1,,,,,,,,,,,
output,proportion of incoming/outgoing staff and volunteers,none,proportion_staff_vol,,,,1,,,,,,,,,,,
outcome,Staff/volunteers advance their careers by working at UEC,"UEC is a starting place for a variety of careers
UEC is a starting place for working in other city departments",career_advancement,,,,1,,,,,,,,,,,
resource,Office and storage space,none,office_storage_space,,,,1,,,,,,,,,,,
resource,"Technology, IT, Equipment",none,tech_it_equip,,,,1,,,,,,,,,,,
